track_id,timestamp,longitude,latitude,altitude_m,speed_mps,heading_deg
UAV003,2026-04-22T08:00:00Z,104.0705,30.5658,130,16,20
UAV003,2026-04-22T08:00:09Z,104.0710,30.5670,140,16,25
UAV003,2026-04-22T08:00:18Z,104.0718,30.5683,155,17,32
UAV003,2026-04-22T08:00:28Z,104.0729,30.5698,170,18,38
UAV003,2026-04-22T08:00:39Z,104.0742,30.5715,185,19,45
UAV003,2026-04-22T08:00:51Z,104.0758,30.5732,200,20,52
UAV003,2026-04-22T08:01:04Z,104.0776,30.5748,215,20,60
UAV003,2026-04-22T08:01:17Z,104.0796,30.5760,230,19,72
UAV003,2026-04-22T08:01:30Z,104.0815,30.5767,240,18,88
UAV003,2026-04-22T08:01:43Z,104.0832,30.5768,235,17,105
UAV003,2026-04-22T08:01:56Z,104.0845,30.5762,220,16,125
UAV003,2026-04-22T08:02:09Z,104.0853,30.5752,205,15,145
UAV003,2026-04-22T08:02:22Z,104.0856,30.5739,190,15,170
UAV003,2026-04-22T08:02:35Z,104.0852,30.5725,175,16,200
UAV003,2026-04-22T08:02:48Z,104.0842,30.5712,160,17,225
