track_id,timestamp,longitude,latitude,altitude_m,speed_mps,heading_deg
UAV001,2026-04-22T08:00:00Z,104.0617,30.5728,120,15,45
UAV001,2026-04-22T08:00:06Z,104.0622,30.5733,125,16,46
UAV001,2026-04-22T08:00:13Z,104.063,30.574,135,18,48
UAV001,2026-04-22T08:00:21Z,104.064,30.5748,150,20,50
UAV001,2026-04-22T08:00:30Z,104.0653,30.5758,165,21,52
UAV001,2026-04-22T08:00:40Z,104.0668,30.577,180,22,54
UAV001,2026-04-22T08:00:51Z,104.0685,30.5783,200,22,56
UAV001,2026-04-22T08:01:03Z,104.0705,30.5798,220,23,58
UAV001,2026-04-22T08:01:16Z,104.0728,30.5815,240,23,60
UAV001,2026-04-22T08:01:29Z,104.0752,30.5835,260,22,62
UAV001,2026-04-22T08:01:42Z,104.0775,30.5858,270,21,65
UAV001,2026-04-22T08:01:55Z,104.0795,30.588,275,20,70
UAV001,2026-04-22T08:02:07Z,104.081,30.59,270,18,80
UAV001,2026-04-22T08:02:19Z,104.082,30.5918,260,17,95
UAV001,2026-04-22T08:02:30Z,104.0825,30.5935,245,16,110
UAV001,2026-04-22T08:02:41Z,104.082,30.595,230,15,130
UAV001,2026-04-22T08:02:53Z,104.0805,30.5962,210,14,150
UAV001,2026-04-22T08:03:06Z,104.0785,30.597,190,13,170
UAV001,2026-04-22T08:03:20Z,104.076,30.5975,170,12,190
UAV001,2026-04-22T08:03:35Z,104.0735,30.597,150,12,210
UAV001,2026-04-22T08:03:49Z,104.071,30.596,135,13,230
UAV001,2026-04-22T08:04:02Z,104.069,30.5945,125,14,250
UAV001,2026-04-22T08:04:15Z,104.0675,30.5925,120,15,270
